title;latitude;longitude;image;description
2;52,728478;15,364781;;
2;52,632269;15,738472;;
2;52,652772;16,080133;;
2;52,233078;16,910153;;
2;52,719247;16,284294;;
2;52,498561;16,972353;;
2;52,630758;16,844017;;
2;52,673969;16,711164;;
2;52,098647;17,072214;;
2;52,092931;17,390917;;
2;52,261494;20,269253;;
2;50,729758;19,177114;;
2;52,129897;20,065297;;
2;52,121633;19,409167;;
2;52,113172;19,682714;;
2;51,850372;19,445475;;
2;50,523439;19,380778;;
2;52,128964;19,8479;;
2;52,790553;21,505364;;
2;52,080917;19,257164;;
2;52,133467;19,553775;;
2;51,923678;19,254825;;
2;53,197864;22,058217;;
2;52,882317;22,818189;;
2;52,875244;23,708153;;
2;52,865011;23,320714;;
2;52,739067;23,76545;;
2;52,701053;23,327339;;
2;52,68515;23,889683;;
2;53,274061;22,744317;;
2;53,213211;23,460375;;
2;53,407544;23,456486;;
2;53,093958;23,507028;;
2;53,194639;23,215267;;
2;51,189247;17,162317;;
2;51,130486;17,277172;;
2;51,205519;16,964628;;
2;51,108489;17,430561;;
2;50,460225;21,187922;;
2;51,198742;17,712753;;
2;50,481372;21,044306;;
2;50,429769;21,321131;;
2;51,705506;16,309067;;
2;51,782211;16,665914;;
2;50,670733;21,043997;;
2;51,525761;16,813828;;
2;51,518139;17,041147;;
2;51,653833;17,180514;;
2;51,494536;17,487858;;
2;51,391675;17,122444;;
2;51,397533;17,481808;;
2;51,372864;17,736908;;
2;51,489114;17,757767;;
2;51,576214;16,647692;;
2;51,631911;16,460431;;
2;51,5854;17,8334;;
2;50,554567;16,432406;;
2;50,412461;16,450539;;
2;51,998356;15,125733;;
2;51,576189;15,763331;;
2;51,028625;15,288928;;
2;50,868533;15,826853;;
2;50,814244;16,051567;;
2;51,467289;15,944719;;
2;51,871664;15,166714;;
2;52,529092;21,207764;;
2;52,598556;21,497278;;
2;52,703297;21,893017;;
2;52,691869;22,164036;;
2;52,624786;22,370578;;
2;52,674633;22,018767;;
2;52,370458;22,908894;;
2;52,332269;23,027714;;
2;52,165697;23,486167;;
2;52,066247;23,643967;;
2;52,253894;23,203297;;
2;51,839161;23,600219;;
2;51,635783;23,541356;;
2;51,964544;23,661111;;
2;51,130719;23,853864;;
2;51,432483;23,676992;;
2;51,536253;23,564286;;
2;51,304169;23,643583;;
2;50,946567;23,981036;;
